Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog,6,356,239,145,6,38,4,79,362,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\obj\x64,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\obj\x64\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag,19,1887,1454,917,109,220,4,213,820,0,3
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag,15,1593,1214,784,107,184,4,195,696,0,3
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests,4,294,240,133,2,36,0,18,124,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTagTests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Data,5,648,524,298,73,100,1,24,122,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc,3,168,126,73,12,21,0,21,163,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc,3,168,126,73,12,21,0,21,163,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleArc\SimpleArc\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression,8,826,615,430,38,78,2,133,359,0,2
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression,8,826,615,430,38,78,2,133,359,0,2
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SimpleCompression\SimpleCompression\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame,47,7497,3940,2172,501,789,43,2768,15611,0,40
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase,47,7497,3940,2172,501,789,43,2768,15611,0,40
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase,47,7497,3940,2172,501,789,43,2768,15611,0,40
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Collections,3,459,236,131,31,54,3,169,1085,0,3
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Entities,3,113,93,59,0,20,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Extensions,10,958,479,266,76,93,12,386,2266,0,10
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Graphics,7,1457,809,486,81,156,8,492,2698,0,7
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\IO,1,408,254,145,53,43,1,111,648,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Input,2,713,377,183,70,72,2,264,1464,0,2
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Interfaces,3,144,53,34,0,16,3,75,347,0,3
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Physics,6,1897,936,475,151,185,6,776,4708,0,6
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Screens,5,683,329,194,19,68,5,286,1299,0,5
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Screens\Effects,1,185,106,61,11,17,1,62,292,0,1
C:\Users\Chris\Documents\GitHub\Misc\SomeDungeonGame\LimitlessBase\LimitlessBase\Sounds,2,287,171,93,13,32,2,84,420,0,2
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate,2,183,126,73,11,35,0,22,152,0,0
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate\SortFilesByDate,2,183,126,73,11,35,0,22,152,0,0
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate\SortFilesByDate\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate\SortFilesByDate\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate\SortFilesByDate\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SortFilesByDate\SortFilesByDate\obj\Release,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator,10,503,340,207,10,61,2,102,463,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorMain,8,408,266,175,6,40,2,102,399,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorMain\SupermarketSimulatorMain,8,408,266,175,6,40,2,102,399,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorMain\SupermarketSimulatorMain\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorTest,7,491,342,223,15,57,2,92,376,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorTest\SupermarketSimulatorTest,7,491,342,223,15,57,2,92,376,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorTest\SupermarketSimulatorTest\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorTest\SupermarketSimulatorTest\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulatorTest\SupermarketSimulatorTest\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulator,8,451,312,199,10,54,2,85,343,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulatorTests,2,52,28,8,0,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulatorTests\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulatorTests\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulatorTests\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulator\Buyables,1,34,29,19,1,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulator\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulator\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SupermarketSimulator\SupermarketSimulator\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SystemAll,3,130,89,58,2,17,0,24,164,0,0
C:\Users\Chris\Documents\GitHub\Misc\SystemAll\SystemAll,3,130,89,58,2,17,0,24,164,0,0
C:\Users\Chris\Documents\GitHub\Misc\SystemAll\SystemAll\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\SystemAll\SystemAll\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\SystemAll\SystemAll\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures,32,3619,2818,1968,164,380,5,421,1299,0,3
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures\TournamentOfPictures,32,3619,2818,1968,164,380,5,421,1299,0,3
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures\TournamentOfPictures\Properties,3,128,61,26,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures\TournamentOfPictures\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures\TournamentOfPictures\obj\x86,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\TournamentOfPictures\TournamentOfPictures\obj\x86\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\VirtualEntity,6,224,133,60,5,30,2,61,335,0,2
C:\Users\Chris\Documents\GitHub\Misc\VirtualEntity\VirtualEntity,6,224,133,60,5,30,2,61,335,0,2
C:\Users\Chris\Documents\GitHub\Misc\VirtualEntity\VirtualEntity\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\WinFormScratchPad,6,367,249,137,10,42,2,76,340,0,2
C:\Users\Chris\Documents\GitHub\Misc\WinFormScratchPad\WinFormScratchPad,6,367,249,137,10,42,2,76,340,0,2
C:\Users\Chris\Documents\GitHub\Misc\WinFormScratchPad\WinFormScratchPad\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\WinFormScratchPad\WinFormScratchPad\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\WinFormScratchPad\WinFormScratchPad\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
