File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\MainForm.cs,60,52,34,1,8,2,0,21,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\MainForm.Designer.cs,133,96,75,1,8,0,29,60,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickLog\QuickLog\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\FolderSelector.cs,39,34,20,1,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\FolderSelector.Designer.cs,126,88,76,1,6,0,32,61,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\MainForm.cs,236,195,118,23,31,1,10,105,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\MainForm.Designer.cs,215,159,143,1,6,0,50,67,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\StartForm.cs,57,51,33,3,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickTag\QuickTag\StartForm.Designer.cs,109,72,60,1,8,0,29,60,0,0
